id,behavior,states,new_anchor,default_visible,models
cut_copper,generic,8,True,True,bloodborne_blocks:block/cut_copper
cut_copper_slab,slab,6,False,True,bloodborne_blocks:block/cut_copper_slab
cut_copper_stairs,generic,160,True,True,bloodborne_blocks:block/addon/gate2_0
cut_red_sandstone,generic,4,False,True,bloodborne_blocks:block/bricks/wallbrick_0
cut_red_sandstone_slab,generic,48,True,True,bloodborne_blocks:block/addon/slabs_0
cut_sandstone,generic,4,False,True,bloodborne_blocks:block/cut_sandstone
cut_sandstone_slab,generic,48,True,True,bloodborne_blocks:block/slabs/cut_sandstone_slab
cyan_concrete,generic,8,True,True,bloodborne_blocks:block/cyan_concrete
cyan_glazed_terracotta,generic,8,True,True,bloodborne_blocks:block/addon/wall_deco_5
cyan_stained_glass,generic,4,False,True,bloodborne_blocks:block/cyan_stained_glass
cyan_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/cyan_stained_glass_pane_post | bloodborne_blocks:block/cyan_stained_glass_pane_noside | bloodborne_blocks:block/cyan_stained_glass_pane_noside_alt | bloodborne_blocks:block/cyan_stained_glass_pane_noside_alt | bloodborne_blocks:block/cyan_stained_glass_pane_noside
cyan_terracotta,generic,4,False,True,bloodborne_blocks:block/prismarine
cyan_wool,generic,8,True,True,bloodborne_blocks:block/cyan_wool
dandelion,plant,2,True,True,bloodborne_blocks:block/dandelion
dark_oak_button,generic,48,True,True,bloodborne_blocks:block/acacia_button
dark_oak_fence,generic,128,False,False,
dark_oak_fence_gate,generic,64,True,True,bloodborne_blocks:block/addon/dark_oak_fence_gate_open
dark_oak_log,pillar,6,True,True,bloodborne_blocks:block/dark_oak_log
dark_oak_planks,generic,8,True,True,bloodborne_blocks:block/dark_oak_planks
dark_oak_slab,slab,6,False,True,bloodborne_blocks:block/dark_oak_slab
dark_oak_stairs,model_door,320,True,True,bloodborne_blocks:block/dark_door_1
dark_oak_trapdoor,generic,128,True,True,bloodborne_blocks:block/dark_oak_trapdoor_bottom
dark_prismarine,generic,8,True,True,bloodborne_blocks:block/dark_prismarine
dark_prismarine_slab,slab,6,False,True,bloodborne_blocks:block/dark_prismarine_slab
dark_prismarine_stairs,generic,160,True,True,bloodborne_blocks:block/stairs/dark_prismarine_stairs_bottom
dead_brain_coral,generic,16,True,True,bloodborne_blocks:block/addon/candles_0
dead_brain_coral_block,generic,4,False,True,bloodborne_blocks:block/dead_brain_coral_block
dead_brain_coral_fan,generic,16,True,True,bloodborne_blocks:block/addon/chains_0
dead_brain_coral_wall_fan,generic,16,True,True,bloodborne_blocks:block/addon/statue_1
dead_bubble_coral,generic,16,True,True,bloodborne_blocks:block/addon/barrel_0
dead_bubble_coral_block,generic,8,True,True,bloodborne_blocks:block/dead_bubble_coral_block
dead_bubble_coral_fan,generic,16,True,True,bloodborne_blocks:block/addon/bag_0
dead_bubble_coral_wall_fan,generic,16,True,True,bloodborne_blocks:block/addon/wall_deco_7
dead_fire_coral_block,generic,8,True,True,bloodborne_blocks:block/dead_fire_coral_block
dead_fire_coral_fan,generic,16,True,True,bloodborne_blocks:block/addon/grass_0
dead_fire_coral_wall_fan,generic,16,True,True,bloodborne_blocks:block/addon/wall_deco_8
dead_horn_coral,generic,16,True,True,bloodborne_blocks:block/dead_horn_coral
dead_horn_coral_block,generic,8,True,True,bloodborne_blocks:block/dead_horn_coral_block
dead_horn_coral_fan,generic,16,True,True,bloodborne_blocks:block/addon/books_0
dead_horn_coral_wall_fan,generic,16,True,True,bloodborne_blocks:block/dead_horn_coral_wall_fan
dead_tube_coral,generic,16,True,True,bloodborne_blocks:block/addon/dead_tube_coral_0
dead_tube_coral_block,generic,8,True,True,bloodborne_blocks:block/dead_tube_coral_block
dead_tube_coral_fan,generic,16,True,True,bloodborne_blocks:block/addon/floor_panels_0
dead_tube_coral_wall_fan,generic,16,True,True,bloodborne_blocks:block/addon/wall_deco_1
deepslate,pillar,3,False,True,bloodborne_blocks:block/deepslate
deepslate_brick_slab,slab,6,False,True,bloodborne_blocks:block/deepslate_brick_slab
deepslate_brick_stairs,stairs,80,False,True,bloodborne_blocks:block/deepslate_brick_stairs
deepslate_brick_wall,generic,1296,False,True,bloodborne_blocks:block/deepslate_brick_wall_post
deepslate_bricks,generic,4,False,True,bloodborne_blocks:block/deepslate_bricks
deepslate_coal_ore,generic,8,True,True,bloodborne_blocks:block/deepslate_coal_ore
deepslate_copper_ore,generic,4,False,True,bloodborne_blocks:block/deepslate_copper_ore
deepslate_diamond_ore,generic,8,True,True,bloodborne_blocks:block/deepslate_diamond_ore
deepslate_emerald_ore,generic,8,True,True,bloodborne_blocks:block/bricks/bricks_r_0
deepslate_gold_ore,generic,4,False,True,bloodborne_blocks:block/bricks
deepslate_iron_ore,generic,8,True,True,bloodborne_blocks:block/deepslate_iron_ore
deepslate_lapis_ore,generic,4,False,True,bloodborne_blocks:block/deepslate_lapis_ore
deepslate_tile_slab,slab,6,False,True,bloodborne_blocks:block/deepslate_tile_slab
deepslate_tile_stairs,stairs,80,False,True,bloodborne_blocks:block/stairs/deep_tile_stairs_bottom
deepslate_tile_wall,generic,1296,False,True,bloodborne_blocks:block/deepslate_tile_wall_post
deepslate_tiles,generic,8,True,True,bloodborne_blocks:block/deepslate_tiles
diamond_block,generic,8,True,True,bloodborne_blocks:block/diamond_block
diamond_ore,generic,8,True,True,bloodborne_blocks:block/diamond_ore
diorite,generic,8,True,True,bloodborne_blocks:block/diorite
diorite_slab,slab,6,False,True,bloodborne_blocks:block/diorite_slab
diorite_stairs,generic,160,True,True,bloodborne_blocks:block/_wall_dec_bottom
diorite_wall,generic,1296,False,True,bloodborne_blocks:block/diorite_wall_post
dried_kelp_block,generic,8,True,True,bloodborne_blocks:block/dried_kelp_block
dripstone_block,generic,4,False,True,bloodborne_blocks:block/dripstone_block
emerald_block,generic,8,True,True,bloodborne_blocks:block/emerald_block
emerald_ore,generic,8,True,True,bloodborne_blocks:block/hold/statue_2
end_stone_brick_slab,slab,6,False,True,bloodborne_blocks:block/end_stone_brick_slab
end_stone_brick_stairs,stairs,80,False,True,bloodborne_blocks:block/end_stone_brick_stairs
end_stone_brick_wall,generic,1296,False,True,bloodborne_blocks:block/end_stone_brick_wall_post
end_stone_bricks,generic,4,False,True,bloodborne_blocks:block/end_stone_bricks
exposed_copper,generic,8,True,True,bloodborne_blocks:block/exposed_copper
exposed_cut_copper,generic,8,True,True,bloodborne_blocks:block/exposed_cut_copper
exposed_cut_copper_slab,slab,6,False,True,bloodborne_blocks:block/exposed_cut_copper_slab
exposed_cut_copper_stairs,generic,160,True,True,bloodborne_blocks:block/stairs/exposed_cut_copper_stairs_bottom
flower_pot,generic,8,True,True,bloodborne_blocks:block/lantern
gilded_blackstone,generic,8,True,True,bloodborne_blocks:block/gilded_blackstone
glass,generic,4,False,True,bloodborne_blocks:block/glass
glass_pane,generic,128,False,False,bloodborne_blocks:block/glass_pane_post | bloodborne_blocks:block/glass_pane_noside | bloodborne_blocks:block/glass_pane_noside_alt | bloodborne_blocks:block/glass_pane_noside_alt | bloodborne_blocks:block/glass_pane_noside
gold_block,generic,8,True,True,bloodborne_blocks:block/gold_block
gold_ore,generic,8,True,True,bloodborne_blocks:block/gold_ore
granite,generic,4,False,True,bloodborne_blocks:block/granite
granite_slab,slab,6,False,True,bloodborne_blocks:block/granite_slab
granite_stairs,stairs,80,False,True,bloodborne_blocks:block/granite_stairs
granite_wall,generic,1296,False,True,bloodborne_blocks:block/granite_wall_post
gray_glazed_terracotta,generic,8,True,True,bloodborne_blocks:block/addon/gray_glazed_terracotta_0
gray_stained_glass,generic,4,False,True,bloodborne_blocks:block/gray_stained_glass
gray_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/gray_stained_glass_pane_post | bloodborne_blocks:block/gray_stained_glass_pane_noside | bloodborne_blocks:block/gray_stained_glass_pane_noside_alt | bloodborne_blocks:block/gray_stained_glass_pane_noside_alt | bloodborne_blocks:block/gray_stained_glass_pane_noside
gray_terracotta,generic,8,True,True,bloodborne_blocks:block/gray_terracotta
green_concrete,generic,8,True,True,bloodborne_blocks:block/green_concrete
green_glazed_terracotta,generic,8,True,True,bloodborne_blocks:block/addon/green_glazed_0
green_stained_glass,generic,4,False,True,bloodborne_blocks:block/green_stained_glass
green_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/green_stained_glass_pane_post | bloodborne_blocks:block/green_stained_glass_pane_noside | bloodborne_blocks:block/green_stained_glass_pane_noside_alt | bloodborne_blocks:block/green_stained_glass_pane_noside_alt | bloodborne_blocks:block/green_stained_glass_pane_noside
green_terracotta,generic,8,True,True,bloodborne_blocks:block/green_terracotta
hay_block,pillar,3,False,True,bloodborne_blocks:block/hay_block
infested_cobblestone,generic,4,False,True,bloodborne_blocks:block/cobblestone
infested_deepslate,generic,3,False,True,bloodborne_blocks:block/deepslate
infested_stone,generic,4,False,True,bloodborne_blocks:block/stone
infested_stone_bricks,generic,4,False,True,bloodborne_blocks:block/stone_bricks
iron_bars,generic,128,False,True,bloodborne_blocks:block/iron_bars_post_ends | bloodborne_blocks:block/iron_bars_post
iron_block,generic,8,True,True,bloodborne_blocks:block/iron_block
iron_ore,generic,8,True,True,bloodborne_blocks:block/iron_ore
iron_trapdoor,trapdoor,64,False,True,bloodborne_blocks:block/iron_trapdoor_bottom
jungle_button,generic,48,True,True,bloodborne_blocks:block/addon/crimson_button_0
jungle_fence,generic,128,False,True,bloodborne_blocks:block/jungle_fence_post
jungle_fence_gate,generic,64,True,True,bloodborne_blocks:block/addon/jungle_fence_gate_open_0
jungle_log,pillar,6,True,True,bloodborne_blocks:block/jungle_log
jungle_planks,generic,8,True,True,bloodborne_blocks:block/jungle_planks
jungle_slab,slab,6,False,True,bloodborne_blocks:block/jungle_slab
jungle_stairs,generic,160,True,True,bloodborne_blocks:block/wood_window
jungle_trapdoor,generic,128,True,True,bloodborne_blocks:block/jungle_trapdoor_bottom
jungle_wood,pillar,6,True,True,bloodborne_blocks:block/jungle_wood
ladder,generic,16,True,False,bloodborne_blocks:block/ladder
lantern,generic,32,True,True,bloodborne_blocks:block/lantern
lapis_block,generic,8,True,True,bloodborne_blocks:block/lapis_block
lapis_ore,generic,8,True,True,bloodborne_blocks:block/bricks/bricks_rl_0
lectern,generic,32,True,True,bloodborne_blocks:block/lectern
lever,generic,48,True,True,bloodborne_blocks:block/lever_on
light_blue_concrete,generic,8,True,True,bloodborne_blocks:block/light_blue_concrete
light_blue_glazed_terracotta,generic,8,True,True,bloodborne_blocks:block/addon/stripped_oka_log_1
light_blue_stained_glass,generic,8,True,True,bloodborne_blocks:block/light_blue_stained_glass
light_blue_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/light_blue_stained_glass_pane_post | bloodborne_blocks:block/light_blue_stained_glass_pane_noside | bloodborne_blocks:block/light_blue_stained_glass_pane_noside_alt | bloodborne_blocks:block/light_blue_stained_glass_pane_noside_alt | bloodborne_blocks:block/light_blue_stained_glass_pane_noside
light_blue_terracotta,generic,8,True,True,bloodborne_blocks:block/light_blue_terracotta
light_blue_wool,generic,8,True,True,bloodborne_blocks:block/light_blue_wool
light_gray_concrete,generic,8,True,True,bloodborne_blocks:block/light_gray_concrete
light_gray_glazed_terracotta,generic,8,True,True,bloodborne_blocks:block/addon/light_gray_glazed_terracotta_0
light_gray_stained_glass,generic,4,False,True,bloodborne_blocks:block/light_gray_stained_glass
light_gray_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/light_gray_stained_glass_pane_post | bloodborne_blocks:block/light_gray_stained_glass_pane_noside | bloodborne_blocks:block/light_gray_stained_glass_pane_noside_alt | bloodborne_blocks:block/light_gray_stained_glass_pane_noside_alt | bloodborne_blocks:block/light_gray_stained_glass_pane_noside
light_gray_terracotta,generic,8,True,True,bloodborne_blocks:block/light_gray_terracotta
light_weighted_pressure_plate,generic,128,True,True,bloodborne_blocks:block/light_weighted_pressure_plate
lightning_rod,generic,48,True,True,bloodborne_blocks:block/lightning_rod
lime_concrete,generic,8,True,True,bloodborne_blocks:block/lime_concrete
lime_glazed_terracotta,generic,8,True,True,bloodborne_blocks:block/addon/wall_deco_2
lime_stained_glass,generic,8,True,True,bloodborne_blocks:block/lime_stained_glass
lime_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/lime_stained_glass_pane_post | bloodborne_blocks:block/lime_stained_glass_pane_noside | bloodborne_blocks:block/lime_stained_glass_pane_noside_alt | bloodborne_blocks:block/lime_stained_glass_pane_noside_alt | bloodborne_blocks:block/lime_stained_glass_pane_noside
lime_terracotta,generic,8,True,True,bloodborne_blocks:block/lime_terracotta
lime_wool,generic,8,True,True,bloodborne_blocks:block/lime_wool
magenta_concrete,generic,8,True,True,bloodborne_blocks:block/magenta_concrete
magenta_glazed_terracotta,generic,8,True,True,bloodborne_blocks:block/addon/stripped_oka_log_2
magenta_stained_glass,generic,8,True,True,bloodborne_blocks:block/magenta_stained_glass
magenta_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/magenta_stained_glass_pane_post | bloodborne_blocks:block/magenta_stained_glass_pane_noside | bloodborne_blocks:block/magenta_stained_glass_pane_noside_alt | bloodborne_blocks:block/magenta_stained_glass_pane_noside_alt | bloodborne_blocks:block/magenta_stained_glass_pane_noside
magenta_terracotta,generic,8,True,True,bloodborne_blocks:block/magenta_terracotta
magenta_wool,generic,8,True,True,bloodborne_blocks:block/magenta_wool
mangrove_trapdoor,trapdoor,64,False,True,bloodborne_blocks:block/mangrove_trapdoor_bottom
mossy_cobblestone,generic,4,False,True,bloodborne_blocks:block/mossy_cobblestone
mossy_cobblestone_slab,slab,6,False,True,bloodborne_blocks:block/mossy_cobblestone_slab
mossy_cobblestone_stairs,stairs,80,False,True,bloodborne_blocks:block/mossy_cobblestone_stairs
mossy_cobblestone_wall,generic,1296,False,True,bloodborne_blocks:block/mossy_cobblestone_wall_post
mossy_stone_brick_stairs,generic,160,True,True,bloodborne_blocks:block/slabs/roof_01
mossy_stone_brick_wall,generic,1296,False,False,
nether_brick_fence,generic,128,False,True,bloodborne_blocks:block/nether_brick_fence_post
nether_brick_slab,slab,6,False,True,bloodborne_blocks:block/nether_brick_slab
nether_brick_stairs,generic,160,True,True,bloodborne_blocks:block/hold/bench
nether_brick_wall,generic,1296,False,True,bloodborne_blocks:block/addon/nether_wall_1
nether_bricks,generic,4,False,True,bloodborne_blocks:block/nether_bricks
nether_gold_ore,generic,8,True,True,bloodborne_blocks:block/nether_gold_ore
nether_quartz_ore,generic,8,True,True,bloodborne_blocks:block/nether_quartz_ore
netherite_block,generic,8,True,True,bloodborne_blocks:block/netherite_block
oak_button,generic,48,True,True,bloodborne_blocks:block/acacia_button
oak_door,generic,128,True,False,bloodborne_blocks:block/addon/oak_door_2
oak_fence,generic,128,False,True,bloodborne_blocks:block/oak_fence_post
oak_fence_gate,generic,64,True,True,bloodborne_blocks:block/oak_fence_gate
oak_log,pillar,6,True,True,bloodborne_blocks:block/oak_log
oak_planks,generic,8,True,True,bloodborne_blocks:block/oak_planks
oak_slab,slab,6,False,True,bloodborne_blocks:block/oak_slab
oak_stairs,generic,160,True,True,bloodborne_blocks:block/oak_stairs_top
oak_trapdoor,generic,128,True,True,bloodborne_blocks:block/oak_trapdoor_bottom
oak_wood,pillar,6,True,True,bloodborne_blocks:block/oak_wood
obsidian,generic,4,False,True,bloodborne_blocks:block/obsidian
orange_concrete,generic,8,True,True,bloodborne_blocks:block/orange_concrete
orange_glazed_terracotta,generic,8,True,True,bloodborne_blocks:block/addon/stripped_oka_log_3
orange_stained_glass,generic,8,True,True,bloodborne_blocks:block/orange_stained_glass
orange_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/orange_stained_glass_pane_post | bloodborne_blocks:block/orange_stained_glass_pane_noside | bloodborne_blocks:block/orange_stained_glass_pane_noside_alt | bloodborne_blocks:block/orange_stained_glass_pane_noside_alt | bloodborne_blocks:block/orange_stained_glass_pane_noside
orange_terracotta,generic,8,True,True,bloodborne_blocks:block/orange_terracotta
orange_wool,generic,8,True,True,bloodborne_blocks:block/orange_wool
oxidized_copper,generic,8,True,True,bloodborne_blocks:block/addon/wall_pilaster_0
oxidized_cut_copper_stairs,generic,160,True,True,bloodborne_blocks:block/addon/cases_0
petrified_oak_slab,slab,6,False,True,bloodborne_blocks:block/petrified_oak_slab
pink_concrete,generic,8,True,True,bloodborne_blocks:block/pink_concrete
pink_glazed_terracotta,generic,4,False,True,bloodborne_blocks:block/pink_glazed_terracotta
pink_stained_glass,generic,8,True,True,bloodborne_blocks:block/pink_stained_glass
pink_stained_glass_pane,generic,128,False,True,bloodborne_blocks:block/pink_stained_glass_pane_post | bloodborne_blocks:block/pink_stained_glass_pane_noside | bloodborne_blocks:block/pink_stained_glass_pane_noside_alt | bloodborne_blocks:block/pink_stained_glass_pane_noside_alt | bloodborne_blocks:block/pink_stained_glass_pane_noside
pink_terracotta,generic,8,True,True,bloodborne_blocks:block/pink_terracotta
pink_wool,generic,8,True,True,bloodborne_blocks:block/pink_wool
polished_andesite,generic,4,False,True,bloodborne_blocks:block/polished_andesite
polished_andesite_slab,slab,6,False,True,bloodborne_blocks:block/polished_andesite_slab
polished_andesite_stairs,stairs,80,False,True,bloodborne_blocks:block/polished_andesite_stairs
polished_blackstone,generic,8,True,True,bloodborne_blocks:block/polished_blackstone
polished_blackstone_brick_slab,slab,24,False,True,bloodborne_blocks:block/addon/slabs_3
polished_blackstone_brick_stairs,generic,160,True,True,bloodborne_blocks:block/polished_blackstone_brick_stairs_1
polished_blackstone_brick_wall,generic,1296,False,True,bloodborne_blocks:block/blackstone_wall_1
polished_blackstone_bricks,generic,8,True,True,bloodborne_blocks:block/polished_blackstone_bricks
polished_blackstone_button,generic,48,True,True,bloodborne_blocks:block/acacia_button
polished_blackstone_slab,generic,48,True,True,bloodborne_blocks:block/addon/slabs_2
polished_blackstone_stairs,generic,80,False,True,bloodborne_blocks:block/polished_blackstone_stairs
polished_blackstone_wall,generic,1296,False,True,bloodborne_blocks:block/bricks/post_black_1
polished_deepslate,generic,8,True,True,bloodborne_blocks:block/polished_deepslate
polished_deepslate_slab,slab,6,False,True,bloodborne_blocks:block/polished_deepslate_slab
polished_deepslate_stairs,stairs,80,False,True,bloodborne_blocks:block/stairs/polished_deepslate_stairs_bottom
polished_diorite,generic,4,False,True,bloodborne_blocks:block/polished_diorite
polished_diorite_slab,generic,24,False,False,bloodborne_blocks:block/dummy/e_slab
polished_diorite_stairs,stairs,80,False,True,bloodborne_blocks:block/stairs/polished_diorite_stairs_bottom
polished_granite,generic,8,True,True,bloodborne_blocks:block/polished_granite
polished_granite_slab,slab,24,False,True,bloodborne_blocks:block/polished_granite_slab
polished_granite_stairs,generic,160,True,True,bloodborne_blocks:block/polished_granite_stairs
potted_acacia_sapling,generic,8,True,True,bloodborne_blocks:block/potted_acacia_sapling
potted_allium,generic,8,True,True,bloodborne_blocks:block/potted_allium
potted_azalea_bush,generic,8,True,True,bloodborne_blocks:block/potted_azalea_bush
potted_azure_bluet,generic,8,True,True,bloodborne_blocks:block/potted_azure_bluet
potted_bamboo,generic,8,True,True,bloodborne_blocks:block/potted_bamboo
potted_birch_sapling,generic,8,True,True,bloodborne_blocks:block/potted_birch_sapling
potted_blue_orchid,generic,8,True,True,bloodborne_blocks:block/potted_blue_orchid
potted_brown_mushroom,generic,8,True,True,bloodborne_blocks:block/potted_brown_mushroom
potted_cactus,generic,8,True,True,bloodborne_blocks:block/potted_cactus
potted_cherry_sapling,generic,8,True,True,bloodborne_blocks:block/potted_cherry_sapling
potted_cornflower,generic,8,True,True,bloodborne_blocks:block/potted_cornflower
potted_crimson_fungus,generic,8,True,True,bloodborne_blocks:block/potted_crimson_fungus
potted_crimson_roots,generic,8,True,True,bloodborne_blocks:block/potted_crimson_roots
potted_dandelion,generic,8,True,True,bloodborne_blocks:block/potted_dandelion
potted_dark_oak_sapling,generic,8,True,True,bloodborne_blocks:block/potted_dark_oak_sapling
potted_dead_bush,generic,8,True,True,bloodborne_blocks:block/potted_dead_bush
potted_fern,generic,8,True,True,bloodborne_blocks:block/potted_fern
potted_flowering_azalea_bush,generic,8,True,True,bloodborne_blocks:block/potted_flowering_azalea_bush
