rule	x	y	z	category	source_roots
128	-635	-32	-140	insufficient evidence	[[-635,-31,-140]]
130	-640	-32	-144	insufficient evidence	[[-640,-31,-144]]
128	-635	-32	-82	insufficient evidence	[[-635,-31,-82]]
128	-635	-32	-78	insufficient evidence	[[-635,-31,-78]]
128	-635	-32	-72	insufficient evidence	[[-635,-31,-72]]
30	-631	83	15	insufficient evidence	[[-631,83,15]]
31	-631	83	10	insufficient evidence	[[-631,83,10]]
197	-630	83	0	insufficient evidence	[[-630,83,0]]
31	-610	83	-38	insufficient evidence	[[-610,83,-38]]
151	-596	71	-338	insufficient evidence	[[-596,71,-338]]
159	-596	71	-330	insufficient evidence	[[-596,71,-330]]
163	-594	24	-182	insufficient evidence	[[-594,24,-182]]
163	-594	24	-172	insufficient evidence	[[-594,24,-172]]
163	-593	37	-161	insufficient evidence	[[-593,37,-161]]
30	-600	83	-38	insufficient evidence	[[-600,83,-38]]
151	-585	58	-339	insufficient evidence	[[-585,58,-339]]
151	-581	58	-339	insufficient evidence	[[-581,58,-339]]
205	-590	44	-335	insufficient evidence	[[-590,44,-335]]
209	-590	44	-333	insufficient evidence	[[-590,44,-333]]
207	-588	49	-328	insufficient evidence	[[-588,49,-328]]
209	-582	49	-328	insufficient evidence	[[-582,49,-328]]
159	-585	58	-329	insufficient evidence	[[-585,58,-329]]
159	-581	58	-329	insufficient evidence	[[-581,58,-329]]
155	-584	24	-182	insufficient evidence	[[-584,24,-182]]
202	-588	10	-167	insufficient evidence	[[-588,10,-167]]
217	-590	10	-167	insufficient evidence	[[-590,10,-167]]
201	-583	15	-175	insufficient evidence	[[-583,15,-175]]
201	-583	15	-169	insufficient evidence	[[-583,15,-169]]
155	-584	24	-172	insufficient evidence	[[-584,24,-172]]
155	-585	37	-161	insufficient evidence	[[-585,37,-161]]
120	-578	-53	-93	insufficient evidence	[[-578,-53,-93]]
151	-580	131	23	insufficient evidence	[[-580,131,23]]
159	-580	131	29	insufficient evidence	[[-580,131,29]]
151	-590	141	24	insufficient evidence	[[-590,141,24]]
159	-590	141	28	insufficient evidence	[[-590,141,28]]
222	-583	133	46	insufficient evidence	[[-583,133,46]]
222	-577	133	46	insufficient evidence	[[-577,133,46]]
226	-583	133	38	insufficient evidence	[[-583,133,38]]
226	-577	133	38	insufficient evidence	[[-577,133,38]]
222	-583	134	46	insufficient evidence	[[-583,134,46]]
222	-577	134	46	insufficient evidence	[[-577,134,46]]
226	-583	134	38	insufficient evidence	[[-583,134,38]]
226	-577	134	38	insufficient evidence	[[-577,134,38]]
222	-583	139	46	insufficient evidence	[[-583,139,46]]
222	-581	139	46	insufficient evidence	[[-581,139,46]]
222	-579	139	46	insufficient evidence	[[-579,139,46]]
222	-577	139	46	insufficient evidence	[[-577,139,46]]
226	-583	139	38	insufficient evidence	[[-583,139,38]]
226	-581	139	38	insufficient evidence	[[-581,139,38]]
226	-579	139	38	insufficient evidence	[[-579,139,38]]
226	-577	139	38	insufficient evidence	[[-577,139,38]]
222	-583	140	46	insufficient evidence	[[-583,140,46]]
222	-577	140	46	insufficient evidence	[[-577,140,46]]
226	-583	140	38	insufficient evidence	[[-583,140,38]]
226	-577	140	38	insufficient evidence	[[-577,140,38]]
222	-583	141	46	insufficient evidence	[[-583,141,46]]
222	-577	141	46	insufficient evidence	[[-577,141,46]]
226	-583	141	38	insufficient evidence	[[-583,141,38]]
226	-577	141	38	insufficient evidence	[[-577,141,38]]
222	-583	142	46	insufficient evidence	[[-583,142,46]]
222	-577	142	46	insufficient evidence	[[-577,142,46]]
226	-583	142	38	insufficient evidence	[[-583,142,38]]
226	-577	142	38	insufficient evidence	[[-577,142,38]]
222	-583	149	46	insufficient evidence	[[-583,149,46]]
222	-581	149	46	insufficient evidence	[[-581,149,46]]
222	-579	149	46	insufficient evidence	[[-579,149,46]]
222	-577	149	46	insufficient evidence	[[-577,149,46]]
226	-583	149	38	insufficient evidence	[[-583,149,38]]
226	-581	149	38	insufficient evidence	[[-581,149,38]]
226	-579	149	38	insufficient evidence	[[-579,149,38]]
226	-577	149	38	insufficient evidence	[[-577,149,38]]
222	-583	150	46	insufficient evidence	[[-583,150,46]]
222	-577	150	46	insufficient evidence	[[-577,150,46]]
226	-583	150	38	insufficient evidence	[[-583,150,38]]
226	-577	150	38	insufficient evidence	[[-577,150,38]]
222	-583	151	46	insufficient evidence	[[-583,151,46]]
226	-577	151	38	insufficient evidence	[[-577,151,38]]
55	-585	152	42	insufficient evidence	[[-585,153,42]]
179	-566	51	-351	insufficient evidence	[[-566,51,-351]]
180	-562	51	-351	insufficient evidence	[[-562,51,-351]]
207	-566	36	-277	insufficient evidence	[[-566,36,-277]]
205	-566	37	-277	insufficient evidence	[[-566,37,-277]]
217	-571	27	-203	insufficient evidence	[[-571,27,-203]]
180	-574	43	-195	insufficient evidence	[[-574,43,-195]]
73	-574	44	-195	insufficient evidence	[[-574,44,-195]]
180	-574	43	-191	insufficient evidence	[[-574,43,-191]]
73	-574	44	-191	insufficient evidence	[[-574,44,-191]]
120	-566	-54	-82	insufficient evidence	[[-566,-54,-82]]
31	-572	98	-4	insufficient evidence	[[-572,98,-4]]
36	-571	113	31	insufficient evidence	[[-571,114,31],[-571,117,31],[-571,120,31],[-571,123,31],[-574,117,31],[-574,120,31],[-574,123,31],[-568,117,31],[-568,120,31],[-568,123,31],[-571,117,28],[-571,120,28],[-571,123,28],[-571,117,34],[-571,120,34],[-571,123,34]]
180	-558	51	-351	insufficient evidence	[[-558,51,-351]]
180	-554	51	-351	insufficient evidence	[[-554,51,-351]]
180	-550	51	-351	insufficient evidence	[[-550,51,-351]]
180	-546	51	-351	insufficient evidence	[[-546,51,-351]]
210	-550	15	-307	insufficient evidence	[[-550,15,-307]]
202	-550	17	-307	insufficient evidence	[[-550,17,-307]]
52	-549	19	-308	insufficient evidence	[[-549,20,-308]]
202	-550	19	-307	insufficient evidence	[[-550,19,-307]]
179	-546	31	-314	insufficient evidence	[[-546,31,-314]]
206	-550	15	-293	insufficient evidence	[[-550,15,-293]]
221	-556	15	-293	insufficient evidence	[[-556,15,-293]]
202	-550	17	-293	insufficient evidence	[[-550,17,-293]]
217	-556	17	-293	insufficient evidence	[[-556,17,-293]]
202	-550	19	-293	insufficient evidence	[[-550,19,-293]]
217	-556	19	-293	insufficient evidence	[[-556,19,-293]]
169	-554	35	-285	insufficient evidence	[[-554,35,-285]]
169	-546	35	-284	insufficient evidence	[[-546,35,-284]]
171	-546	35	-280	insufficient evidence	[[-546,35,-280]]
171	-546	35	-276	insufficient evidence	[[-546,35,-276]]
180	-550	35	-284	insufficient evidence	[[-550,35,-284]]
191	-558	35	-285	insufficient evidence	[[-558,35,-285]]
180	-550	43	-253	insufficient evidence	[[-550,43,-253]]
214	-553	46	-213	insufficient evidence	[[-553,46,-213]]
214	-553	46	-211	insufficient evidence	[[-553,46,-211]]
214	-553	46	-209	insufficient evidence	[[-553,46,-209]]
229	-545	46	-213	insufficient evidence	[[-545,46,-213]]
229	-545	46	-211	insufficient evidence	[[-545,46,-211]]
229	-545	46	-209	insufficient evidence	[[-545,46,-209]]
214	-553	54	-213	insufficient evidence	[[-553,54,-213]]
214	-553	54	-211	insufficient evidence	[[-553,54,-211]]
214	-553	54	-209	insufficient evidence	[[-553,54,-209]]
229	-545	54	-213	insufficient evidence	[[-545,54,-213]]
229	-545	54	-211	insufficient evidence	[[-545,54,-211]]
229	-545	54	-209	insufficient evidence	[[-545,54,-209]]
214	-553	65	-213	insufficient evidence	[[-553,65,-213]]
214	-553	65	-211	insufficient evidence	[[-553,65,-211]]
214	-553	65	-209	insufficient evidence	[[-553,65,-209]]
226	-552	65	-214	insufficient evidence	[[-552,65,-214]]
226	-550	65	-214	insufficient evidence	[[-550,65,-214]]
226	-548	65	-214	insufficient evidence	[[-548,65,-214]]
226	-546	65	-214	insufficient evidence	[[-546,65,-214]]
229	-545	65	-213	insufficient evidence	[[-545,65,-213]]
229	-545	65	-211	insufficient evidence	[[-545,65,-211]]
229	-545	65	-209	insufficient evidence	[[-545,65,-209]]
214	-553	46	-207	insufficient evidence	[[-553,46,-207]]
229	-545	46	-207	insufficient evidence	[[-545,46,-207]]
30	-556	50	-199	insufficient evidence	[[-556,50,-199]]
173	-558	50	-195	insufficient evidence	[[-558,50,-195]]
174	-558	50	-199	insufficient evidence	[[-558,50,-199]]
174	-558	50	-196	insufficient evidence	[[-558,50,-196]]
180	-554	50	-202	insufficient evidence	[[-554,50,-202]]
180	-550	50	-202	insufficient evidence	[[-550,50,-202]]
73	-554	51	-202	insufficient evidence	[[-554,51,-202]]
159	-549	52	-204	insufficient evidence	[[-549,52,-204]]
214	-553	54	-207	insufficient evidence	[[-553,54,-207]]
229	-545	54	-207	insufficient evidence	[[-545,54,-207]]
214	-553	65	-207	insufficient evidence	[[-553,65,-207]]
229	-545	65	-207	insufficient evidence	[[-545,65,-207]]
30	-556	50	-187	insufficient evidence	[[-556,50,-187]]
169	-558	50	-191	insufficient evidence	[[-558,50,-191]]
174	-558	50	-187	insufficient evidence	[[-558,50,-187]]
149	-545	129	53	insufficient evidence	[[-545,129,53]]
151	-553	137	54	insufficient evidence	[[-553,137,54]]
180	-542	51	-351	insufficient evidence	[[-542,51,-351]]
180	-538	51	-351	insufficient evidence	[[-538,51,-351]]
180	-534	51	-351	insufficient evidence	[[-534,51,-351]]
180	-530	51	-351	insufficient evidence	[[-530,51,-351]]
30	-541	4	-305	insufficient evidence	[[-541,4,-305]]
30	-529	4	-305	insufficient evidence	[[-529,4,-305]]
205	-543	44	-211	insufficient evidence	[[-543,44,-211]]
209	-543	44	-209	insufficient evidence	[[-543,44,-209]]
206	-540	42	-196	insufficient evidence	[[-540,42,-196]]
205	-540	44	-196	insufficient evidence	[[-540,44,-196]]
53	-541	46	-197	insufficient evidence	[[-541,47,-197]]
205	-540	46	-196	insufficient evidence	[[-540,46,-196]]
31	-544	50	-196	insufficient evidence	[[-544,50,-196]]
181	-540	50	-196	insufficient evidence	[[-540,50,-196]]
210	-540	42	-190	insufficient evidence	[[-540,42,-190]]
209	-540	44	-190	insufficient evidence	[[-540,44,-190]]
54	-541	46	-189	insufficient evidence	[[-541,47,-189]]
209	-540	46	-190	insufficient evidence	[[-540,46,-190]]
174	-542	50	-189	insufficient evidence	[[-542,50,-189]]
181	-540	50	-190	insufficient evidence	[[-540,50,-190]]
141	-539	29	-51	insufficient evidence	[[-539,30,-51]]
167	-538	29	-56	insufficient evidence	[[-538,29,-56]]
180	-539	35	-44	insufficient evidence	[[-539,35,-44]]
183	-543	35	-44	insufficient evidence	[[-543,35,-44]]
76	-543	36	-44	insufficient evidence	[[-543,36,-44]]
205	-539	70	-10	insufficient evidence	[[-539,70,-10]]
189	-529	41	2	insufficient evidence	[[-529,41,2]]
209	-539	70	6	insufficient evidence	[[-539,70,6]]
155	-533	75	24	insufficient evidence	[[-533,75,24]]
151	-543	147	55	insufficient evidence	[[-543,147,55]]
159	-543	147	59	insufficient evidence	[[-543,147,59]]
180	-526	51	-351	insufficient evidence	[[-526,51,-351]]
180	-522	51	-351	insufficient evidence	[[-522,51,-351]]
180	-518	51	-351	insufficient evidence	[[-518,51,-351]]
180	-514	51	-351	insufficient evidence	[[-514,51,-351]]
30	-521	4	-303	insufficient evidence	[[-521,4,-303]]
31	-518	43	-263	insufficient evidence	[[-518,43,-263]]
174	-519	43	-265	insufficient evidence	[[-519,43,-265]]
31	-517	50	-190	insufficient evidence	[[-517,50,-190]]
31	-515	50	-189	insufficient evidence	[[-515,50,-189]]
31	-514	50	-191	insufficient evidence	[[-514,50,-191]]
167	-526	29	-56	insufficient evidence	[[-526,29,-56]]
60	-526	34	-48	insufficient evidence	[[-526,34,-48]]
173	-525	35	-44	insufficient evidence	[[-525,35,-44]]
174	-525	35	-48	insufficient evidence	[[-525,35,-48]]
155	-500	70	-434	insufficient evidence	[[-500,70,-434]]
163	-512	70	-434	insufficient evidence	[[-512,70,-434]]
180	-510	51	-351	insufficient evidence	[[-510,51,-351]]
180	-506	51	-351	insufficient evidence	[[-506,51,-351]]
30	-509	4	-313	insufficient evidence	[[-509,4,-313]]
30	-509	4	-304	insufficient evidence	[[-509,4,-304]]
30	-502	43	-259	insufficient evidence	[[-502,43,-259]]
210	-512	46	-270	insufficient evidence	[[-512,46,-270]]
225	-508	46	-270	insufficient evidence	[[-508,46,-270]]
224	-512	47	-270	insufficient evidence	[[-512,47,-270]]
224	-508	47	-270	insufficient evidence	[[-508,47,-270]]
30	-504	43	-243	insufficient evidence	[[-504,43,-243]]
30	-503	43	-254	insufficient evidence	[[-503,43,-254]]
30	-503	43	-245	insufficient evidence	[[-503,43,-245]]
31	-505	43	-255	insufficient evidence	[[-505,43,-255]]
31	-504	43	-251	insufficient evidence	[[-504,43,-251]]
31	-502	43	-243	insufficient evidence	[[-502,43,-243]]
71	-501	61	-226	insufficient evidence	[[-501,61,-226]]
209	-509	55	-202	insufficient evidence	[[-509,55,-202]]
210	-506	24	-153	insufficient evidence	[[-506,24,-153]]
225	-508	24	-153	insufficient evidence	[[-508,24,-153]]
210	-506	25	-153	insufficient evidence	[[-506,25,-153]]
225	-508	25	-153	insufficient evidence	[[-508,25,-153]]
202	-506	27	-153	insufficient evidence	[[-506,27,-153]]
217	-508	27	-153	insufficient evidence	[[-508,27,-153]]
229	-510	33	-151	insufficient evidence	[[-510,33,-151]]
221	-510	35	-151	insufficient evidence	[[-510,35,-151]]
203	-499	66	-152	insufficient evidence	[[-499,66,-152]]
151	-506	75	-151	insufficient evidence	[[-506,75,-151]]
229	-510	33	-143	insufficient evidence	[[-510,33,-143]]
217	-510	34	-132	insufficient evidence	[[-510,34,-132]]
217	-510	35	-132	insufficient evidence	[[-510,35,-132]]
225	-510	35	-143	insufficient evidence	[[-510,35,-143]]
217	-510	36	-132	insufficient evidence	[[-510,36,-132]]
217	-510	37	-132	insufficient evidence	[[-510,37,-132]]
217	-510	38	-132	insufficient evidence	[[-510,38,-132]]
159	-507	58	-133	insufficient evidence	[[-507,58,-133]]
159	-506	75	-141	insufficient evidence	[[-506,75,-141]]
174	-505	35	-36	insufficient evidence	[[-505,35,-36]]
167	-507	36	-35	insufficient evidence	[[-507,36,-35]]
174	-506	41	-28	insufficient evidence	[[-506,41,-28]]
174	-506	41	-20	insufficient evidence	[[-506,41,-20]]
180	-505	41	-32	insufficient evidence	[[-505,41,-32]]
180	-503	41	-18	insufficient evidence	[[-503,41,-18]]
180	-500	41	-18	insufficient evidence	[[-500,41,-18]]
185	-498	41	-18	insufficient evidence	[[-498,41,-18]]
187	-507	41	-29	insufficient evidence	[[-507,41,-29]]
174	-498	41	-6	insufficient evidence	[[-498,41,-6]]
174	-498	41	-2	insufficient evidence	[[-498,41,-2]]
67	-498	42	-6	insufficient evidence	[[-498,42,-6]]
174	-498	41	2	insufficient evidence	[[-498,41,2]]
174	-498	41	6	insufficient evidence	[[-498,41,6]]
67	-498	42	2	insufficient evidence	[[-498,42,2]]
67	-498	42	6	insufficient evidence	[[-498,42,6]]
167	-504	42	1	insufficient evidence	[[-504,42,1]]
167	-499	42	1	insufficient evidence	[[-499,42,1]]
145	-498	55	4	insufficient evidence	[[-498,56,4]]
145	-497	55	4	insufficient evidence	[[-497,56,4]]
169	-505	59	16	insufficient evidence	[[-505,59,16]]
171	-504	59	19	insufficient evidence	[[-504,59,19]]
171	-499	59	19	insufficient evidence	[[-499,59,19]]
171	-498	59	20	insufficient evidence	[[-498,59,20]]
174	-505	59	20	insufficient evidence	[[-505,59,20]]
62	-505	60	16	insufficient evidence	[[-505,60,16]]
30	-489	56	-244	insufficient evidence	[[-489,56,-244]]
31	-486	56	-245	insufficient evidence	[[-486,56,-245]]
34	-496	56	-241	insufficient evidence	[[-496,57,-241],[-496,60,-241],[-496,63,-241],[-496,66,-241],[-499,60,-241],[-499,63,-241],[-499,66,-241],[-493,60,-241],[-493,63,-241],[-493,66,-241],[-496,60,-244],[-496,63,-244],[-496,66,-244],[-496,60,-238],[-496,63,-238],[-496,66,-238]]
195	-485	56	-244	insufficient evidence	[[-485,56,-244]]
196	-486	56	-243	insufficient evidence	[[-486,56,-243]]
196	-485	56	-245	insufficient evidence	[[-485,56,-245]]
198	-486	56	-244	insufficient evidence	[[-486,56,-244]]
30	-484	56	-231	insufficient evidence	[[-484,56,-231]]
30	-481	56	-229	insufficient evidence	[[-481,56,-229]]
31	-481	56	-226	insufficient evidence	[[-481,56,-226]]
194	-486	56	-232	insufficient evidence	[[-486,56,-232]]
194	-485	56	-229	insufficient evidence	[[-485,56,-229]]
196	-487	56	-233	insufficient evidence	[[-487,56,-233]]
196	-486	56	-231	insufficient evidence	[[-486,56,-231]]
196	-486	56	-230	insufficient evidence	[[-486,56,-230]]
196	-485	56	-227	insufficient evidence	[[-485,56,-227]]
199	-487	56	-232	insufficient evidence	[[-487,56,-232]]
180	-489	60	-226	insufficient evidence	[[-489,60,-226]]
73	-489	61	-226	insufficient evidence	[[-489,61,-226]]
30	-490	55	-214	insufficient evidence	[[-490,55,-214]]
30	-489	55	-212	insufficient evidence	[[-489,55,-212]]
30	-486	55	-209	insufficient evidence	[[-486,55,-209]]
31	-489	55	-210	insufficient evidence	[[-489,55,-210]]
31	-488	55	-214	insufficient evidence	[[-488,55,-214]]
31	-487	55	-212	insufficient evidence	[[-487,55,-212]]
174	-492	55	-214	insufficient evidence	[[-492,55,-214]]
31	-482	60	-213	insufficient evidence	[[-482,60,-213]]
37	-483	60	-218	insufficient evidence	[[-483,61,-218],[-483,64,-218],[-483,67,-218],[-483,70,-218],[-486,64,-218],[-486,67,-218],[-486,70,-218],[-480,64,-218],[-480,67,-218],[-480,70,-218],[-483,64,-221],[-483,67,-221],[-483,70,-221],[-483,64,-215],[-483,67,-215],[-483,70,-215]]
171	-483	60	-211	insufficient evidence	[[-483,60,-211]]
80	-491	61	-216	insufficient evidence	[[-491,61,-216]]
215	-489	66	-221	insufficient evidence	[[-489,66,-221]]
202	-489	67	-221	insufficient evidence	[[-489,67,-221]]
183	-495	52	-193	insufficient evidence	[[-495,52,-193]]
30	-481	55	-198	insufficient evidence	[[-481,55,-198]]
30	-481	55	-195	insufficient evidence	[[-481,55,-195]]
31	-490	55	-205	insufficient evidence	[[-490,55,-205]]
31	-487	55	-206	insufficient evidence	[[-487,55,-206]]
167	-492	55	-193	insufficient evidence	[[-492,55,-193]]
30	-494	50	-182	insufficient evidence	[[-494,50,-182]]
30	-493	50	-191	insufficient evidence	[[-493,50,-191]]
31	-495	50	-191	insufficient evidence	[[-495,50,-191]]
31	-495	50	-185	insufficient evidence	[[-495,50,-185]]
31	-495	50	-184	insufficient evidence	[[-495,50,-184]]
30	-490	55	-183	insufficient evidence	[[-490,55,-183]]
31	-488	55	-181	insufficient evidence	[[-488,55,-181]]
31	-488	55	-180	insufficient evidence	[[-488,55,-180]]
31	-487	55	-182	insufficient evidence	[[-487,55,-182]]
31	-486	55	-180	insufficient evidence	[[-486,55,-180]]
169	-486	55	-178	insufficient evidence	[[-486,55,-178]]
174	-492	55	-182	insufficient evidence	[[-492,55,-182]]
203	-493	66	-152	insufficient evidence	[[-493,66,-152]]
151	-496	75	-151	insufficient evidence	[[-496,75,-151]]
171	-490	39	-131	insufficient evidence	[[-490,39,-131]]
66	-490	40	-131	insufficient evidence	[[-490,40,-131]]
159	-496	63	-132	insufficient evidence	[[-496,63,-132]]
159	-496	75	-141	insufficient evidence	[[-496,75,-141]]
33	-487	-37	-111	insufficient evidence	[[-487,-36,-111],[-487,-33,-111],[-487,-30,-111],[-487,-27,-111],[-490,-33,-111],[-490,-30,-111],[-490,-27,-111],[-484,-33,-111],[-484,-30,-111],[-484,-27,-111],[-487,-33,-114],[-487,-30,-114],[-487,-27,-114],[-487,-33,-108],[-487,-30,-108],[-487,-27,-108]]
209	-495	-35	-92	insufficient evidence	[[-495,-35,-92]]
209	-485	-35	-92	insufficient evidence	[[-485,-35,-92]]
209	-483	-35	-92	insufficient evidence	[[-483,-35,-92]]
205	-483	-35	-78	insufficient evidence	[[-483,-35,-78]]
165	-494	41	-18	insufficient evidence	[[-494,41,-18]]
169	-485	41	-32	insufficient evidence	[[-485,41,-32]]
180	-490	41	-18	insufficient evidence	[[-490,41,-18]]
58	-494	42	-18	insufficient evidence	[[-494,42,-18]]
201	-495	42	-12	insufficient evidence	[[-495,42,-12]]
217	-495	43	-12	insufficient evidence	[[-495,43,-12]]
147	-496	55	-2	insufficient evidence	[[-496,56,-2]]
215	-486	42	0	insufficient evidence	[[-486,42,0]]
202	-486	43	0	insufficient evidence	[[-486,43,0]]
145	-496	55	4	insufficient evidence	[[-496,56,4]]
181	-494	59	16	insufficient evidence	[[-494,59,16]]
181	-486	59	16	insufficient evidence	[[-486,59,16]]
157	-488	71	32	insufficient evidence	[[-488,71,32]]
151	-473	94	-379	insufficient evidence	[[-473,94,-379]]
159	-473	94	-367	insufficient evidence	[[-473,94,-367]]
31	-476	65	-292	insufficient evidence	[[-476,65,-292]]
167	-471	60	-260	insufficient evidence	[[-471,60,-260]]
187	-468	65	-270	insufficient evidence	[[-468,65,-270]]
34	-472	56	-248	insufficient evidence	[[-472,57,-248],[-472,60,-248],[-472,63,-248],[-472,66,-248],[-475,60,-248],[-475,63,-248],[-475,66,-248],[-469,60,-248],[-469,63,-248],[-469,66,-248],[-472,60,-251],[-472,63,-251],[-472,66,-251],[-472,60,-245],[-472,63,-245],[-472,66,-245]]
30	-473	60	-255	insufficient evidence	[[-473,60,-255]]
174	-471	60	-256	insufficient evidence	[[-471,60,-256]]
30	-476	56	-225	insufficient evidence	[[-476,56,-225]]
31	-479	56	-227	insufficient evidence	[[-479,56,-227]]
30	-475	60	-216	insufficient evidence	[[-475,60,-216]]
30	-473	60	-216	insufficient evidence	[[-473,60,-216]]
31	-480	60	-215	insufficient evidence	[[-480,60,-215]]
31	-477	60	-214	insufficient evidence	[[-477,60,-214]]
31	-476	60	-218	insufficient evidence	[[-476,60,-218]]
169	-475	60	-220	insufficient evidence	[[-475,60,-220]]
174	-471	60	-216	insufficient evidence	[[-471,60,-216]]
31	-479	55	-196	insufficient evidence	[[-479,55,-196]]
179	-473	56	-177	insufficient evidence	[[-473,56,-177]]
183	-470	59	-177	insufficient evidence	[[-470,59,-177]]
217	-469	54	-167	insufficient evidence	[[-469,54,-167]]
215	-469	55	-167	insufficient evidence	[[-469,55,-167]]
209	-466	57	-164	insufficient evidence	[[-466,57,-164]]
203	-466	61	-164	insufficient evidence	[[-466,61,-164]]
209	-466	62	-164	insufficient evidence	[[-466,62,-164]]
209	-471	-35	-92	insufficient evidence	[[-471,-35,-92]]
205	-471	-35	-78	insufficient evidence	[[-471,-35,-78]]
34	-472	97	0	insufficient evidence	[[-472,98,0],[-472,101,0],[-472,104,0],[-472,107,0],[-475,101,0],[-475,104,0],[-475,107,0],[-469,101,0],[-469,104,0],[-469,107,0],[-472,101,-3],[-472,104,-3],[-472,107,-3],[-472,101,3],[-472,104,3],[-472,107,3]]
30	-457	65	-309	insufficient evidence	[[-457,65,-309]]
31	-462	65	-311	insufficient evidence	[[-462,65,-311]]
31	-460	65	-309	insufficient evidence	[[-460,65,-309]]
209	-461	67	-314	insufficient evidence	[[-461,67,-314]]
30	-452	65	-279	insufficient evidence	[[-452,65,-279]]
31	-452	65	-276	insufficient evidence	[[-452,65,-276]]
