x	y	z	transaction	owners
-458	125	44	historical-owner-842b9232a80cf9ce9b6f	[{"root":[-458,125,44],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-458,125,44],"target":"bloodborne_blocks:owner_01315b82a4cec516aab1","isRoot":true}]
-458	125	48	historical-owner-ce11be36adc9da4ca58c	[{"root":[-458,125,48],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-458,125,48],"target":"bloodborne_blocks:owner_c5fbf550e4daa403a0bf","isRoot":true}]
-456	125	43	historical-owner-b0688aac6442d3c1a62f	[{"root":[-456,125,43],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-456,125,43],"target":"bloodborne_blocks:owner_af856f9cace5bd4e8fe0","isRoot":true}]
-457	125	44	historical-owner-b0688aac6442d3c1a62f	[{"root":[-457,125,44],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-457,125,44],"target":"bloodborne_blocks:owner_01315b82a4cec516aab1","isRoot":true}]
-456	125	42	historical-owner-254f583b2b3e837cd722	[{"root":[-456,125,42],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-456,125,42],"target":"bloodborne_blocks:owner_19ded9fb7b796191a7c3","isRoot":true}]
-455	125	41	historical-owner-254f583b2b3e837cd722	[{"root":[-455,125,41],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-455,125,41],"target":"bloodborne_blocks:owner_59afd1ca3d3c0e213be7","isRoot":true}]
-454	125	40	historical-owner-254f583b2b3e837cd722	[{"root":[-454,125,40],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-454,125,40],"target":"bloodborne_blocks:owner_59afd1ca3d3c0e213be7","isRoot":true}]
-456	125	44	historical-owner-a83e1ff052c283286e8a	[{"root":[-456,125,44],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-456,125,44],"target":"bloodborne_blocks:owner_57a9f2a3d45374dd2255","isRoot":true}]
-455	125	42	historical-owner-37ac65b84c50324c76a2	[{"root":[-455,125,42],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-455,125,42],"target":"bloodborne_blocks:owner_e507db222408763969e4","isRoot":true}]
-454	125	41	historical-owner-a234173b0f86b8dad0d0	[{"root":[-454,125,41],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-454,125,41],"target":"bloodborne_blocks:owner_e507db222408763969e4","isRoot":true}]
-453	125	40	historical-owner-1e1a3e78b2971b8eb37c	[{"root":[-453,125,40],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-453,125,40],"target":"bloodborne_blocks:owner_01315b82a4cec516aab1","isRoot":true}]
-452	125	40	historical-owner-e5107db10c18cc2a749d	[{"root":[-452,125,40],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-452,125,40],"target":"bloodborne_blocks:owner_f0f0f3e2f0c46dddb4c6","isRoot":true}]
-451	125	41	historical-owner-e5107db10c18cc2a749d	[{"root":[-451,125,41],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-451,125,41],"target":"bloodborne_blocks:owner_f0f0f3e2f0c46dddb4c6","isRoot":true}]
-450	125	42	historical-owner-e5107db10c18cc2a749d	[{"root":[-450,125,42],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-450,125,42],"target":"bloodborne_blocks:owner_e41125b76748441dd274","isRoot":true}]
-452	125	41	historical-owner-be08018d702e4dcb6cbf	[{"root":[-452,125,41],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-452,125,41],"target":"bloodborne_blocks:owner_10925b60d6656eaf2f3b","isRoot":true}]
-451	125	42	historical-owner-b27d9805b758fe316993	[{"root":[-451,125,42],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-451,125,42],"target":"bloodborne_blocks:owner_10925b60d6656eaf2f3b","isRoot":true}]
-449	125	44	historical-owner-76b1244e626213f7734a	[{"root":[-449,125,44],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-449,125,44],"target":"bloodborne_blocks:owner_e41125b76748441dd274","isRoot":true}]
-450	125	43	historical-owner-76b1244e626213f7734a	[{"root":[-450,125,43],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-450,125,43],"target":"bloodborne_blocks:owner_a33ff0637e01d6a88e9f","isRoot":true}]
-450	125	44	historical-owner-5d1dbffca10cf805b6e3	[{"root":[-450,125,44],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-450,125,44],"target":"bloodborne_blocks:owner_57a9f2a3d45374dd2255","isRoot":true}]
-449	125	45	historical-owner-1c554d92239f625f0d20	[{"root":[-449,125,45],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-449,125,45],"target":"bloodborne_blocks:owner_a33ff0637e01d6a88e9f","isRoot":true}]
-449	125	46	historical-owner-3ee1276938e59a729474	[{"root":[-449,125,46],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-449,125,46],"target":"bloodborne_blocks:owner_a33ff0637e01d6a88e9f","isRoot":true}]
-449	125	47	historical-owner-965c2cd5c05504158beb	[{"root":[-449,125,47],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-449,125,47],"target":"bloodborne_blocks:owner_a33ff0637e01d6a88e9f","isRoot":true}]
-448	125	48	historical-owner-965c2cd5c05504158beb	[{"root":[-448,125,48],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-448,125,48],"target":"bloodborne_blocks:owner_01315b82a4cec516aab1","isRoot":true}]
-449	125	48	historical-owner-f65226ca5d12ee92cad8	[{"root":[-449,125,48],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-449,125,48],"target":"bloodborne_blocks:owner_ba39ed23df6af94aa02f","isRoot":true}]
-447	125	48	historical-owner-038b5d24c21b3544b877	[{"root":[-447,125,48],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-447,125,48],"target":"bloodborne_blocks:owner_01315b82a4cec516aab1","isRoot":true}]
-446	125	48	historical-owner-08670e87181aec27567b	[{"root":[-446,125,48],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-446,125,48],"target":"bloodborne_blocks:owner_01315b82a4cec516aab1","isRoot":true}]
-445	125	48	historical-owner-18cd6628950ae1f068f8	[{"root":[-445,125,48],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-445,125,48],"target":"bloodborne_blocks:owner_01315b82a4cec516aab1","isRoot":true}]
-444	125	48	historical-owner-c12f21ce69c8e1248d45	[{"root":[-444,125,48],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-444,125,48],"target":"bloodborne_blocks:owner_01315b82a4cec516aab1","isRoot":true}]
-443	125	48	historical-owner-7321f70e4cd80c5b084b	[{"root":[-443,125,48],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-443,125,48],"target":"bloodborne_blocks:owner_01315b82a4cec516aab1","isRoot":true}]
-442	125	48	historical-owner-44c29629b27e9aa9dcec	[{"root":[-442,125,48],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-442,125,48],"target":"bloodborne_blocks:owner_01315b82a4cec516aab1","isRoot":true}]
-441	125	48	historical-owner-5a5bc65fc05af4efbde6	[{"root":[-441,125,48],"target":"bloodborne_blocks:o_high_balustrade","isRoot":true},{"root":[-441,125,48],"target":"bloodborne_blocks:owner_f0f0f3e2f0c46dddb4c6","isRoot":true}]
-438	97	-18	historical-owner-0fd11be10e02e3c20ff1	[{"root":[-438,97,-18],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-438,97,-18],"target":"bloodborne_blocks:owner_af03d804fca0479ddd82","isRoot":true},{"root":[-438,98,-19],"target":"bloodborne_blocks:owner_269f9df5e16db840b73a","isRoot":false}]
-318	77	-134	historical-owner-eddb736a003bfdab7c65	[{"root":[-318,77,-134],"target":"bloodborne_blocks:o_ornate_balustrade","isRoot":true},{"root":[-319,78,-134],"target":"bloodborne_blocks:owner_ad0e6403eacc2a87b265","isRoot":false},{"root":[-318,76,-134],"target":"bloodborne_blocks:owner_04a3b257cb0bce78ab49","isRoot":false},{"root":[-318,77,-134],"target":"bloodborne_blocks:owner_8202a802e27d3ac4e712","isRoot":true}]
